电极总数n:10
电极厚度d:0.450000
相邻电极之间的距离z:
4.500000 7.500000 7.500000 7.500000 7.500000 7.500000 7.500000 7.500000 7.500000 4.500000 
相邻电极之间要划分的步长数step:
5 8 8 8 8 8 8 8 8 5 
电极电位v:
12.000000 20.000000 33.000000 45.000000 52.000000 60.000000 77.000000 80.000000 95.000000 100.000000 
电极内孔径半径r1:40.000000
r1范围内等步长划分的网格数m1:60
从电极内孔边到封闭边界处的径向距离r2:20.000000
r2范围内等步长划分的网格数m2:20
迭代控制精度e:0.000005
输出打印空间电位时的网格点间格数nst:2
轴上电位作等距插值时的步长数ins:60
要求扫描搜索等位线的电位值的个数m:6
要求扫描搜索等位线的电位值ev:
15.000000 30.000000 45.000000 60.000000 75.000000 90.000000 
输出r方向的网格点坐标如下:
第0个点:	60.000000
第1个点:	59.000000
第2个点:	58.000000
第3个点:	57.000000
第4个点:	56.000000
第5个点:	55.000000
第6个点:	54.000000
第7个点:	53.000000
第8个点:	52.000000
第9个点:	51.000000
第10个点:	50.000000
第11个点:	49.000000
第12个点:	48.000000
第13个点:	47.000000
第14个点:	46.000000
第15个点:	45.000000
第16个点:	44.000000
第17个点:	43.000000
第18个点:	42.000000
第19个点:	41.000000
第20个点:	40.000000
第21个点:	39.333333
第22个点:	38.666667
第23个点:	38.000000
第24个点:	37.333333
第25个点:	36.666667
第26个点:	36.000000
第27个点:	35.333333
第28个点:	34.666667
第29个点:	34.000000
第30个点:	33.333333
第31个点:	32.666667
第32个点:	32.000000
第33个点:	31.333333
第34个点:	30.666667
第35个点:	30.000000
第36个点:	29.333333
第37个点:	28.666667
第38个点:	28.000000
第39个点:	27.333333
第40个点:	26.666667
第41个点:	26.000000
第42个点:	25.333333
第43个点:	24.666667
第44个点:	24.000000
第45个点:	23.333333
第46个点:	22.666667
第47个点:	22.000000
第48个点:	21.333333
第49个点:	20.666667
第50个点:	20.000000
第51个点:	19.333333
第52个点:	18.666667
第53个点:	18.000000
第54个点:	17.333333
第55个点:	16.666667
第56个点:	16.000000
第57个点:	15.333333
第58个点:	14.666667
第59个点:	14.000000
第60个点:	13.333333
第61个点:	12.666667
